Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
Flipkart,2007,"E-Commerce, E-Learning, Language Learning","Bengaluru, Karnataka, India",Flipkart operates an online shopping website with a registered customer base of over 100 million.,482,Asia-Pacific (APAC),,,Closed,2018-05-09,,For Profit,www.flipkart.com,https://twitter.com/flipkart,https://www.facebook.com/flipkart,https://www.linkedin.com/company/flipkart,cs@flipkart.com,800 208 9898,"7,162","Crunchbase Venture Program, Exited Unicorn","Flipkart is an e-commerce marketplace that offers over 30 million products across 70+ categories. It provides books, movies, music, games, consoles, gaming accessories, mobiles, mobile accessories, cameras, camera accessories, computers, computer accessories, network components, software, peripherals, home and kitchen appliances, TV, and video products, and personal and health care products. 
Flipkart, currently 33,000 people strong, has 75 million registered users clocking over 10 million daily visits. Flipkart’s technology has enabled it to deliver 8 million shipments per month – and this number is only growing.
Binny and Sachin Bansal founded Flipkart in 2007, with headquarters in Bengaluru in India. In 2018, the company was acquired by the giant retail corporation, [Walmart](/organization/Walmart).",,,,,,,,,"Commerce and Shopping, Education, Software",3,"Binny Bansal, Sachin Bansal, Santiraj Murmu",10001+,26,M&A,2022-06-13,"$264,000,000.0",Venture - Series Unknown,"$264,000,000.0",Venture - Series Unknown,"$11,702,981,402.0","$12,873,184,737.0","Tencent, Axis Bank, Flipkart, Walmart, Morgan Stanley",13,30,18,"Made Acquisitions, Was Acquired",,,2018-05-09,"$16,000,000,000.0",Acquisition,,Private,,,,,,,2022-05-31,,,487,,-0.2,-1.1,-2.5,10,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales","3,255","99,940,034","127,602,966.17",-40.16%,907,4.61%,2.59,4.28%,60.11%,-0.23%,"1,278",537,72.47%,85,10,"9,095,296",47,4,5,Computing; Calculating,"Paper, cardboard and goods made from these materials",,,,18,33,28,,4,4,,,,,,,
Latitud,2020,"Business Development, Finance, Financial Services, Venture Capital","São Paulo, Sao Paulo, Brazil","Latitud provides community, infrastructure, and capital to tech companies.",527,Latin America,,,Active,,,For Profit,latitud.com,https://twitter.com/latitudlatam,,https://www.linkedin.com/school/latitudlatam,ventures@latitud.com,,6,,"Latitud provides community, infrastructure, and capital to tech companies.
It was founded in 2020 and is based in São Paulo, Brazil.",,Venture Capital,Seed,,,,,1,"Financial Services, Lending and Investments, Professional Services",3,"Brian Requarth, Gina Gotthilf, Yuri Danilchenko",11-50,3,Seed,2022-07-13,"$1,500,000.0",Seed,"$1,500,000.0",Seed,"$14,500,000.0","$14,500,000.0","Andreessen Horowitz, Alumni Ventures, Norte Ventures, Endeavor Catalyst, Canary",2,46,,,,,,,,,Private,,,,,,,,,,532,,-1.3,-1.6,6.9,7,Management,1,"10,854","5,503",171.01%,763,385.99%,3.86,66.19%,43.21%,0.7%,"2,094,438","-1,496,737",-41.68%,41,,,,,,,,,,,35,37,,1,,,,,,1,,,
Massachusetts Institute of Technology,1861,"Education, Higher Education, Universities","Cambridge, Massachusetts, United States","MIT is a research university that conducts research and offers educational courses in science, technology, and engineering.","5,968","Greater Boston Area, East Coast, New England",,$1B to $10B,Active,,,,web.mit.edu,http://twitter.com/MIT,http://www.facebook.com/MITnews,https://www.linkedin.com/school/mit,admissions@mit.edu,(617) 253-1000,"5,803",,"Massachusetts Institute of Technology (MIT) is a research university that conducts research and offers educational courses in science, technology, and engineering. Its five schools and one college encompass numerous academic departments, divisions, and degree-granting programs as well as interdisciplinary centers, laboratories, and programs. Degrees earned at MIT include bachelor’s, master’s, and doctorates.
Students from MIT are regularly named Fulbright Fellows, Marshall Scholars, Rhodes Scholars, Truman Scholars, and Gates Scholars.
The faculty of MIT has won numerous awards, including the Nobel Prize, Medal of Science, John Bates Clark Medal, Fields Medal, PECASE awards, MacArthur ’genius’ grants, and more. Many faculty members are of the AAAS, IEEE, American Academy of Arts and Sciences, and other prestigious societies.
Massachusetts Institute of Technology was incorporated by the [Commonwealth of Massachusetts](https://www.crunchbase.com/organization/commonwealth-of-massachusetts) on April 10, 1861, and is based in Cambridge, Massachusetts.",,Accelerator,,,,10001+,,"3,070","Education, Other",7,"Birago Jones, Chris Caplice, David Ott, Erastus Brigham Bigelow, Federico Casalegno, Matthias Winkenbach, Zen Chu",1001-5000,8,,2020-01-30,"$65,000.0",Grant,,,,"$1,095,955,000.0","Massachusetts Life Sciences Center, Massachusetts Clean Energy Center, U.S. Food and Drug Administration, Ludwig Cancer Research, Stephen Schwarzman",5,6,,,,,,,,,Private,,,,,,,,,17,"1,003",,8.8,8.3,7.7,254,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Product, Sales","1,957",,,,,,,,,,,,,12,,,,"7,886",110,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,17,19,7,1,2,2,,,,"5,034",,,
Nexford University,2018,"Continuing Education, Corporate Training, Higher Education, SaaS, STEM Education, Universities","Washington, District of Columbia, United States","A next generation online university providing students with access to quality, affordable, dynamic education.","1,478","Washington DC Metro Area, Southern US",,,Active,,,,www.nexford.org,https://twitter.com/nexford,https://www.facebook.com/nexford/,https://www.linkedin.com/company/nexford-uni,help@nexford.org,+1 202 280 2049,24,,"Nexford University enables greater social and economic mobility across the world by providing students access to a high quality, affordable, dynamic education that prepares them for the global workplace. The organization operates as a hybrid between an online educational institution and a SaaS technology platform. We are creating a next-generation education experience that will positively impact millions of lives around the world. Our goal is to become the largest and most affordable American university in the world.
Nexford provides students with a fully-online global education based on mastery of competencies that are relevant in the workplace. We equip students with the skills needed for lifelong learning and skill development. A global student community supports learning and success through the innovative use of technology.",,,,Private (Non-Profit),Four Year University,11-50,Online,6,"Education, Other, Science and Engineering, Software",1,Fadl Al Tarzi,11-50,5,Early Stage Venture,2022-09-07,"$8,000,000.0",Series A,"$8,000,000.0",Series A,"$26,100,000.0","$26,100,000.0","International Finance Corporation, Learn Capital, New Markets Venture Partners, Global Ventures, Future Africa",3,9,,,,,,,,,Private,,,,,,,,,,"1,487",,7.4,9.4,9.5,7,"Information Technology, Management, Operations, Product",16,"24,916","21,657.17",-38.21%,70,-84.13%,1.25,-20.88%,86.11%,73.85%,"1,302,016","394,129",43.41%,7,,,,,,,,,,,,,,,,,,,,8,,,
University of Michigan,1817,"Business Intelligence, E-Learning, Education, Knowledge Management, Universities","Ann Arbor, Michigan, United States","The University of Michigan is a public research university that caters business, engineering, law, and medical courses.","1,249","Great Lakes, Midwestern US",,$1B to $10B,Active,,,,www.umich.edu/,https://twitter.com/UMich,http://www.facebook.com/universityofmichigan,http://www.linkedin.com/edu/university-of-michigan-18633,umsocial@umich.edu,0552828095,"5,685",,"The University of Michigan’s programs consistently places high in national rankings. Especially renowned are the Stephen Ross School of Business, the College of Engineering, The Law and Medical Schools, and the Musical Theatre program. There is also a strong film presence in Ann Arbor, with many major motion pictures being shot there and the annual Ann Arbor Film Festival, which brings in filmmakers from all over the world.",,University Program,,Public,Four Year University,10001+,,"1,514","Administrative Services, Data and Analytics, Education, Other, Software",2,"Gabriel Richard, Timothy P McKenna",10001+,14,,2022-08-31,"$11,000,000.0",Grant,"$1,600,000.0",Venture - Series Unknown,"$1,600,000.0","$197,350,000.0","NASA, National Institutes of Health, Technion, National Science Foundation, US Department of Energy",10,13,,,,,,,,,Private,,,,,,,,2020-09-01,6,"1,703",,-0.9,6.0,3.8,84,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales, Support","8,780","11,981,953","13,965,473.17",-3.1%,590,6.12%,3.56,-3.96%,54.96%,2.63%,"14,326","1,770",14.1%,11,201,"71,006",173,44,2,Computing; Calculating,"Paper, cardboard and goods made from these materials",,,,10,11,,4,2,2,,,,"3,023",,,
University of California Berkeley,1868,"Continuing Education, Education, Higher Education, Universities","Berkeley, California, United States","University of California, Berkeley is a public institution for higher education.","1,355","San Francisco Bay Area, West Coast, Western US",,$1B to $10B,Active,,,,www.berkeley.edu/,https://twitter.com/UCBerkeley,http://www.facebook.com/UCBerkeley,http://www.linkedin.com/edu/university-of-california-berkeley-17939,webmaster@berkeley.edu,(510) 642-6000,"2,670",,"The University of California was chartered in 1868 and its flagship campus, envisioned as a “City of Learning”, was established at Berkeley, on the San Francisco Bay.
Today the world’s premier public university and a wellspring of innovation, UC Berkeley occupies a 1,232 acre campus with a sylvan 178-acre central core. From this home, its academic community makes key contributions to the economic and social well-being of the Bay Area, California, and the nation.
The California Golden Bears are the athletic teams that represent the University of California, Berkeley. Referred to in athletic competition as California or Cal, the university fields 30 varsity athletic programs and various club teams in the National Collegiate Athletic Association (NCAA).",,,,Public,,10001+,Online and On Campus,"3,035","Education, Other",1,Adam Sterling,10001+,6,,2022-08-04,,Grant,,,,"$119,055,550.0","National Institutes of Health, Microsoft, Algorand Foundation, Open Philanthropy Project",4,4,,,,,,,,,Private,,,,,,,2021-09-03,,9,"1,986",,-1.0,-2.0,2.2,51,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","5,874","13,876,204","16,754,147.17",-3.13%,602,-13.26%,3.12,-8.47%,57.48%,3.38%,"12,514","1,532",13.95%,17,14,"3,084",,12,0,Testing,,,,,4,4,,1,,,,,,"5,837",,,
Harvard University,1636,"Education, Higher Education, Universities","Cambridge, Massachusetts, United States","Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","2,046","Greater Boston Area, East Coast, New England",,$1B to $10B,Active,,,,harvard.edu,http://twitter.com/Harvard,http://www.facebook.com/Harvard,http://www.linkedin.com/edu/harvard-university-18483,otd@harvard.edu,(617) 495-1000,"5,578",,"Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make a difference globally. Harvard faculty are engaged with teaching and research to push the boundaries of human knowledge. For students who are excited to investigate the biggest issues of the 21st century, Harvard offers an unparalleled student experience and a generous financial aid program, with over $160 million awarded to more than 60% of our undergraduate students. The University has twelve degree-granting Schools in addition to the Radcliffe Institute for Advanced Study, offering a truly global education. Harvard University is an ivy league school. 
Established in 1636, Harvard is the oldest institution of higher education in the United States. The University, which is based in Cambridge and Boston, Massachusetts, has an enrollment of over 20,000-degree candidates, including undergraduate, graduate, and professional students. Harvard has more than 360,000 alumni around the world.",Yes,University Program,,Private (Non-Profit),Four Year University,10001+,Online and On Campus,"2,822","Education, Other",2,"John Harvard, Jonathan Zittrain",10001+,8,,2021-08-24,"$65,000.0",Grant,,,,"$125,329,910.0","DARPA, Massachusetts Clean Energy Center, U.S. Food and Drug Administration, Hock Tan, Ludwig Cancer Research",6,8,,,,,,,,,Private,,,,,,,,2020-03-25,,"2,069",,3.5,-1.0,7.3,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales, Support","4,731","48,638,929","49,639,524",13.42%,732,40.23%,2.06,0.23%,71.26%,0.96%,"3,184",-313,-8.95%,18,29,"2,992",,"4,076",286,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,Education; entertainment,,,,9,11,2,1,1,1,,,,"5,395",,,
Subject,2020,"E-Learning, EdTech, Education","Los Angeles, California, United States",Subject develops an accredited learning platform that provides a custom curriculum taught by teachers with cinematic quality.,"2,521","Greater Los Angeles Area, West Coast, Western US","Hispanic / Latine Founded, Hispanic / Latine Led",$1M to $10M,Active,,,,www.subject.com/,https://twitter.com/TrySubject,https://www.facebook.com/trysubject,https://www.linkedin.com/company/emilelearning/,michael@subject.com,224-456-8915,21,,"Subject develops an accredited learning platform that provides a custom curriculum taught by teachers with cinematic quality. It offers 64 courses across Core, Electives, AP®, and more.",,,,,,,,,"Education, Software",3,"Felix Ruano, Jonathan Quiros, Michael Vilardo",11-50,3,Early Stage Venture,2022-03-22,"$29,400,000.0",Series A,"$29,400,000.0",Series A,"$34,700,000.0","$34,700,000.0","Bessemer Venture Partners, Moving Capital, Kleiner Perkins, SB Opportunity Fund, Owl Ventures",2,40,,,,,,,,,Private,,,,,,,,,,"2,819",,-0.2,4.4,-0.1,8,"Engineering, Management, Operations, Pro Services, Sales",15,"15,049","31,553.17",-31.62%,115,-78.26%,2.05,-25.61%,42.27%,-18.82%,"1,734,565","406,805",30.64%,13,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Mellon University,1900,"Education, Higher Education, Universities","Pittsburgh, Pennsylvania, United States",Carnegie Mellon University is a global research university bringing ideas to market and creating successful startup businesses.,"1,954","Great Lakes, Northeastern US",,$500M to $1B,Active,,,,www.cmu.edu,https://twitter.com/CarnegieMellon,https://www.facebook.com/carnegiemellonu,https://www.linkedin.com/school/carnegie-mellon-university,info@msche.org,(412) 268-2000,"2,701",,"Carnegie Mellon University is a global research university with more than 11,000 students, 84,000 alumni, and 4,000 faculty and staff. Recognized for its world-class arts and technology programs, collaboration across disciplines and innovative leadership in education, Carnegie Mellon is consistently a top-ranked university.",,University Program,,,,10001+,,"1,210","Education, Other",1,Andrew Carnegie,5001-10000,13,Seed,2022-08-04,,Grant,,Seed,,"$446,499,844.0","Innovation Works, Algorand Foundation, National Science Foundation, Yahoo, Richard King Mellon Foundation",5,8,,,,,,,,,Private,,,,,,,,,9,"3,615",,-1.6,-3.0,-3.1,4,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","1,892","4,462,266","5,234,467",9.23%,523,-3.33%,3.65,6.47%,57.63%,0.09%,"33,734",733,2.22%,18,,,93,958,58,Computing; Calculating,Education; entertainment,,,,16,18,2,3,4,4,,,,"2,240",,,
Myntra,2007,,"Bangalore, Karnataka, India","Myntra is an e-commerce platform for buying branded footwear, apparel, and accessories for men and women.","4,123",Asia-Pacific (APAC),,$50M to $100M,Closed,2014-05-22,2007-01-01,For Profit,www.myntra.com,http://twitter.com/myntra,https://www.facebook.com/myntra,https://www.linkedin.com/company/myntra,pr@myntra.com,+91 80 4354 1999,"1,873",,"Myntra is an e-commerce company committed to making fashion and lifestyle products accessible to everyone. They create solutions that disrupt the ordinary and help make the world a happier, more fashionable place. They provide the largest current season product catalog, fashion etailer, m-commerce, myntra fashion brands, internet, omnichannel, omnichannel, and private fashion labels.",,,,,,,,,,5,"Ashutosh Lawania, Mukesh Bansal, Raveen Sastry, Sankar Bora, Vineet Saxena",10001+,14,M&A,2022-03-25,"$116,000,000.0",Corporate Round,"$116,000,000.0",Corporate Round,"$508,084,835.0","$515,771,218.0","Flipkart, Tiger Global Management, Accel, New Enterprise Associates, Kalaari Capital",6,12,9,"Made Acquisitions, Was Acquired",,,2014-05-22,"$300,000,000.0",Acquisition,,Private,,,,,,,2022-01-18,2020-02-07,1,"4,145",,6.5,5.3,-0.9,10,"Engineering, Finance, Human Resources, Information Technology, Legal, Marketing, Operations, Product, Sales",664,"23,806,550","34,470,340",-37%,755,7.4%,4.28,11.19%,56.24%,-0.5%,"7,123","3,073",75.88%,36,2,"1,092,682",30,8,0,Computing; Calculating,Clothing; footwear; headgear,,,,,,,,,,,,,,,,
