Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,Animoca Brands,0,14,ORG,
"Bitwarden provides an open-source password management solutions for individuals, teams, and business organizations.",Bitwarden,0,9,PERSON,
21.co is the world’s leader in providing access to crypto through simple and easy to use products. Parent company of 21Shares &amp; Amun.,21.co,0,5,ORG,
21.co is the world’s leader in providing access to crypto through simple and easy to use products. Parent company of 21Shares &amp; Amun.,21Shares &amp,117,130,ORG,
21.co is the world’s leader in providing access to crypto through simple and easy to use products. Parent company of 21Shares &amp; Amun.,Amun,132,136,PERSON,
"Mysten Labs develops tools that make web3 secure, reliable, and ready for mass adoption.",Mysten Labs,0,11,PERSON,
Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,Animoca Brands,0,14,ORG,
"GroMo is a FinTech marketplace helping users sell financial products such as loans, insurance, and investments.",FinTech,11,18,ORG,
ZippMat is a SCaaS enterprise that provides a one-stop solution for all supply chain management needs of construction companies.,ZippMat,0,7,ORG,
ZippMat is a SCaaS enterprise that provides a one-stop solution for all supply chain management needs of construction companies.,one,46,49,CARDINAL,
Skyroot Aerospace is an aerospace manufacturer and launch service provider developing launch vehicles for cost-effective access to space.,Skyroot Aerospace,0,17,ORG,
"Pezesha is a digital financial marketplace that connects SMBs to working capital, float financing, and LPO financing.",LPO,103,106,ORG,
1mg is an online pharmacy network platform and generic medicine engine.,1,0,1,CARDINAL,
SkyBridge Capital is a global alternative investment firm.,SkyBridge Capital,0,17,ORG,
"Suite42 provides manufacturing products across food staples, food processing, and FMCG industries.",Suite42,0,7,ORG,
Latana is a brand tracking tool that uses advanced data science to ensure reliable and accurate brand insights.,Latana,0,6,ORG,
SeatGeek operates a mobile-focused ticket platform and search engine that lets fans buy and sell tickets for events.,SeatGeek,0,8,ORG,
Spice AI is creating technology to make artificial intelligence and machine learning more accessible to developers.,Spice AI,0,8,PERSON,
Morse Micro is a semiconductor startup developing Wi-Fi HaLow / 802.11ah chips for the Internet of Things (IoT) market.,Morse Micro,0,11,ORG,
Morse Micro is a semiconductor startup developing Wi-Fi HaLow / 802.11ah chips for the Internet of Things (IoT) market.,Wi-Fi HaLow,50,61,ORG,
Aktis Oncology is a biotechnology company discovering and developing a novel class of targeted radiopharmaceuticals.,Aktis Oncology,0,14,ORG,
Mobile-based operating system to manage construction &amp; architectural projects,Mobile,0,6,GPE,
"Digital Diagnostics is an AI diagnostics company that transforms the quality, accessibility, and affordability of healthcare.",Digital Diagnostics,0,19,ORG,
"Digital Diagnostics is an AI diagnostics company that transforms the quality, accessibility, and affordability of healthcare.",healthcare,114,124,ORG,
Duplo is modernizing B2B payments in Africa,Duplo,0,5,PERSON,
Duplo is modernizing B2B payments in Africa,Africa,37,43,LOC,
"FinAGG is a digital credit card for suppliers, distributors and retailers that lubricates the flow of goods &amp; payments in the Supply Chain.",the Supply Chain,126,142,LOC,
Vector Database for Production-ready AI,AI,37,39,ORG,
"Petfolk is a veterinary healthcare company that provides a connected community for today's vets, pets, and pet owners.",Petfolk,0,7,GPE,
"Petfolk is a veterinary healthcare company that provides a connected community for today's vets, pets, and pet owners.",today,83,88,DATE,
Albedo designs and operates satellites that capture imagery at a higher resolution.,Albedo,0,6,GPE,
Digital Mental Health Games,Digital Mental Health Games,0,27,ORG,
"SnappRetail is a complete retail operating platform that empowers traditional trade retailers in Pakistan, to grow their margin and revenue.",SnappRetail,0,11,ORG,
"SnappRetail is a complete retail operating platform that empowers traditional trade retailers in Pakistan, to grow their margin and revenue.",Pakistan,97,105,GPE,
