Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"William Schantz is an exceptional individual, always keeping in mind that the world is a fragile place.",William Schantz,0,15,PERSON,
"The city that put the world on wheels is putting the future on display. Welcome to the first-ever, indoor/outdoor Detroit Auto Show.",first,87,92,ORDINAL,
"The city that put the world on wheels is putting the future on display. Welcome to the first-ever, indoor/outdoor Detroit Auto Show.",Detroit Auto Show,114,131,ORG,
Varun Mittal is awarded the EY Accelerating Entrepreneur of the Year,Varun Mittal,0,12,ORG,
In this seminar for Windows PKI you will learn how to implement and use a PKI in your enterprise.,Windows PKI,20,31,PERSON,
In this seminar for Windows PKI you will learn how to implement and use a PKI in your enterprise.,PKI,74,77,ORG,
"A program to find new technologies that can expand the use of the Nintendo Switch system, and could include a Pitch Day with Nintendo.",Nintendo Switch,66,81,LOC,
"A program to find new technologies that can expand the use of the Nintendo Switch system, and could include a Pitch Day with Nintendo.",Pitch Day,110,119,DATE,
"A program to find new technologies that can expand the use of the Nintendo Switch system, and could include a Pitch Day with Nintendo.",Nintendo,125,133,ORG,
Everest Base Camp Trekking is the opportunity to climb the highest peak in the planet.,Everest Base Camp Trekking,0,26,FAC,
The impact challenges and next steps in the use of Blockchain technology,Blockchain,51,61,LOC,
"Startup Weekend is a 54 hour event that brings together Startup Mongolia designers, developers, entrepreneurs.",54 hour,21,28,TIME,
"Startup Weekend is a 54 hour event that brings together Startup Mongolia designers, developers, entrepreneurs.",Startup Mongolia,56,72,FAC,
"Interact with your peers in a monthly morning breakfast meetup. At this monthly breakfast get-together techies, developers, designers etc.",monthly,30,37,DATE,
"Interact with your peers in a monthly morning breakfast meetup. At this monthly breakfast get-together techies, developers, designers etc.",morning,38,45,TIME,
"What's your blueprint for your MarTech Stack? Join experts from RingLead, Marketo, AdRoll, and NewVoice Media for an online panel session.",MarTech Stack,31,44,WORK_OF_ART,
"What's your blueprint for your MarTech Stack? Join experts from RingLead, Marketo, AdRoll, and NewVoice Media for an online panel session.",RingLead,64,72,ORG,
"What's your blueprint for your MarTech Stack? Join experts from RingLead, Marketo, AdRoll, and NewVoice Media for an online panel session.",Marketo,74,81,GPE,
"What's your blueprint for your MarTech Stack? Join experts from RingLead, Marketo, AdRoll, and NewVoice Media for an online panel session.",AdRoll,83,89,ORG,
"What's your blueprint for your MarTech Stack? Join experts from RingLead, Marketo, AdRoll, and NewVoice Media for an online panel session.",NewVoice Media,95,109,ORG,
"Jasa Epoxy Lantai Bogor Jika diperhatikan lebih teliti, lantai bukan sekedar elemen pada sebuah bangunan namun memiliki fungsi",Jasa Epoxy Lantai,0,17,PERSON,
"Jasa Epoxy Lantai Bogor Jika diperhatikan lebih teliti, lantai bukan sekedar elemen pada sebuah bangunan namun memiliki fungsi",lebih,42,47,GPE,
"Jasa Epoxy Lantai Bogor Jika diperhatikan lebih teliti, lantai bukan sekedar elemen pada sebuah bangunan namun memiliki fungsi",sebuah bangunan namun memiliki,89,119,PERSON,
The SafeBreath Pro Mask can be used by people who spend much of their time outside their homes and outdoors.,Pro Mask,15,23,PERSON,
"Digital Labin is one of a kind ICT conference featuring inspiring speakers in web, mobile and software design and development.",Digital Labin,0,13,PERSON,
"Digital Labin is one of a kind ICT conference featuring inspiring speakers in web, mobile and software design and development.",one,17,20,CARDINAL,
"Digital Labin is one of a kind ICT conference featuring inspiring speakers in web, mobile and software design and development.",ICT,31,34,ORG,
Hemp Oil Tincture CA are what loosen up cbd hemp oil from kat’s naturals aims to offer. This cbd isolate is thc unfastened and ninety nine,Hemp Oil Tincture CA,0,20,ORG,
Hemp Oil Tincture CA are what loosen up cbd hemp oil from kat’s naturals aims to offer. This cbd isolate is thc unfastened and ninety nine,kat’s,58,63,ORG,
Hemp Oil Tincture CA are what loosen up cbd hemp oil from kat’s naturals aims to offer. This cbd isolate is thc unfastened and ninety nine,ninety nine,127,138,CARDINAL,
GITEX Global is a tech and startup event for showcasing new products and identifying future opportunities.,GITEX Global,0,12,ORG,
For 22 years Seamless has been a meeting place for the brightest and most innovative minds across the MENA region.,22 years,4,12,DATE,
For 22 years Seamless has been a meeting place for the brightest and most innovative minds across the MENA region.,Seamless,13,21,ORG,
For 22 years Seamless has been a meeting place for the brightest and most innovative minds across the MENA region.,MENA,102,106,LOC,
Tony 590,Tony,0,4,PERSON,
Tony 590,590,5,8,CARDINAL,
"Developer conference that will gather thousands of attendees, more than 50 speakers, and global tech companies for a unique two day event",thousands,38,47,CARDINAL,
"Developer conference that will gather thousands of attendees, more than 50 speakers, and global tech companies for a unique two day event",more than 50,62,74,CARDINAL,
