Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
Signify Health is a healthcare platform that develops value-based healthcare payment programs.,Signify Health,0,14,ORG,
"Tata Harper Skincare is a 100% natural, nontoxic, high-performance luxury skincare, cosmetics and aromatherapy line .",Tata Harper Skincare,0,20,PERSON,
"Tata Harper Skincare is a 100% natural, nontoxic, high-performance luxury skincare, cosmetics and aromatherapy line .",100%,26,30,PERCENT,
Quantic Dream is a multimedia company with a focus on digital production.,Quantic Dream,0,13,PERSON,
"PharmaLex provides specialized services for the pharma, biotech, and medtech industries.",PharmaLex,0,9,ORG,
"Search.io is a real-time search service that enables thousands of businesses to provide search experiences on websites, stores, and apps.",Search.io,0,9,ORG,
"Search.io is a real-time search service that enables thousands of businesses to provide search experiences on websites, stores, and apps.",thousands,53,62,CARDINAL,
"CPS Building Services is a provider of construction and building services design, installation, and maintenance solutions.",CPS Building Services,0,21,ORG,
Interphase Systems is a consulting and IT services organization located in the Greater Philadelphia area.,Greater Philadelphia,79,99,LOC,
"SenseHawk is a SaaS provider of data analytics, integration, and workflow management software for the infrastructure industry.",SenseHawk,0,9,ORG,
"MVP Tech provides security and IT systems contracting, business intelligence, support, and maintenance services.",MVP Tech,0,8,ORG,
Simex Klima &amp; Kulde is one of the suppliers of air conditioning and cooling technical installations in commercial buildings.,Simex Klima &amp,0,16,ORG,
Simex Klima &amp; Kulde is one of the suppliers of air conditioning and cooling technical installations in commercial buildings.,Kulde,18,23,GPE,
An Israeli Startup that develops vehicle passenger monitoring system based on contactless low emission radio frequency radar.,Israeli,3,10,NORP,
"Digital Golf Collective is a full-service marketing and talent brand management agency for managing, strategizing, and monetizing a company.",Digital Golf Collective,0,23,ORG,
"Peterson Technology Group iis a provider of IT support and consulting, focusing on small and medium sized businesses.",Peterson Technology Group,0,25,ORG,
TCGplayer is the leading online technology platform for the collectibles industry,TCGplayer,0,9,ORG,
"Cians Analytics provides high-quality, cost-effective research and analytical support for financial institutions around the globe.",Cians Analytics,0,15,PERSON,
"Carbon Intelligence provides a strategic roadmap, programs, and services to help organizations move towards a zero-carbon economy.",zero,110,114,CARDINAL,
Napoli Management Group operates as a broadcast talent representation firm.,Napoli Management Group,0,23,ORG,
"3 Kings Entertainment is a premier, full-service broadcast news, sports and media talent representation firm, has over 20 years .",Kings Entertainment,2,21,ORG,
"3 Kings Entertainment is a premier, full-service broadcast news, sports and media talent representation firm, has over 20 years .",20 years,119,127,DATE,
Two Twelve Management is a full-service chef representation management company.,Two,0,3,CARDINAL,
"Happytal revolutionizes the hospital experience through human and digital support, for more comfort during the hospital stay.",Happytal,0,8,PRODUCT,
Ezetap Mobile Solutions is a payment device maker.,Ezetap Mobile Solutions,0,23,ORG,
Volcanes del Sur is a handcrafted brewery to create unique beers.,Volcanes del Sur,0,16,ORG,
Paynas is a digital platform that provides businesses with a tool to boost workforce management and payroll cards for their employees.,Paynas,0,6,ORG,
"Hill International is an infrastructure company that focuses on providing program, project, and construction management.",Hill International,0,18,ORG,
"People, Pets &amp; Vets is a veterinary services company that partners with hospitals to help them achieve organizational growth.","People, Pets &",0,14,ORG,
"People, Pets &amp; Vets is a veterinary services company that partners with hospitals to help them achieve organizational growth.",Vets,19,23,FAC,
Brigham Minerals is a privately-owned mineral acquisition company that focuses on acquiring oil and gas mineral rights.,Brigham Minerals,0,16,PERSON,
Countryside Properties is a leading UK home builder and urban regeneration partner.,Countryside Properties,0,22,ORG,
Countryside Properties is a leading UK home builder and urban regeneration partner.,UK,36,38,GPE,
"YourITgroup provides managed IT services, business continuity, VoIP, and cloud services to small and medium-sized businesses.",VoIP,63,67,ORG,
"One Payment provides mobile, retail, e-commerce, virtual, and EMV credit card processing systems and online payment gateway solutions.",One,0,3,CARDINAL,
"One Payment provides mobile, retail, e-commerce, virtual, and EMV credit card processing systems and online payment gateway solutions.",Payment,4,11,ORG,
"One Payment provides mobile, retail, e-commerce, virtual, and EMV credit card processing systems and online payment gateway solutions.",EMV,62,65,ORG,
"Interpace Pharma Solutions provides cytogenetic, molecular pathology, and genomic profiling solutions.",Interpace Pharma Solutions,0,26,PERSON,
"Capdesk is an equity management platform helping companies manage cap tables, shareholder registers, and employee shares.",Capdesk,0,7,PERSON,
Newcraft provides support to companies in their digital acceleration.,Newcraft,0,8,ORG,
Turquoise Hill is an international mining company focused on the operation and further development of the Oyu Tolgoi copper-gold mine.,Turquoise Hill,0,14,PERSON,
"Saint-Gobain-Crystals Business provides single scintillation crystals for radiation detection applications, sapphire and garnet substrates.",Saint-Gobain-Crystals Business,0,30,PERSON,
Care Value is a marketing organization that specializes in senior insurance market.,Care Value,0,10,ORG,
Aera Energy is an oil and gas producer of nearly 25 percent of California's production.,Aera Energy,0,11,ORG,
Aera Energy is an oil and gas producer of nearly 25 percent of California's production.,nearly 25 percent,42,59,PERCENT,
Aera Energy is an oil and gas producer of nearly 25 percent of California's production.,California,63,73,GPE,
"Scelta Products is a retailer of frozen foods specialized in producing breaded, frozen snack products based on vegetables.",Scelta Products,0,15,ORG,
iRobot is a technology company that designs and builds behavior-based AI robots.,iRobot,0,6,ORG,
iRobot is a technology company that designs and builds behavior-based AI robots.,AI,70,72,ORG,
"Stan Johnson Company is a real estate firm providing property investment, leasing, and financial services.",Stan Johnson Company,0,20,ORG,
"NorTex Midstream Partners is the operator of high-deliverability, multi-cycle natural gas storage capacity in the United States.",NorTex Midstream Partners,0,25,ORG,
"NorTex Midstream Partners is the operator of high-deliverability, multi-cycle natural gas storage capacity in the United States.",the United States,110,127,GPE,
FundExpert Fintech is a platform that gives the ability to seamlessly place mutual fund orders.,FundExpert Fintech,0,18,PRODUCT,
TRS Components provides a single-source network of residential and commercial suppliers.,TRS Components,0,14,ORG,
Med Pharmex is a manufacturer of pharmaceutical products for the animal health market which includes companion and food producing animals.,Med Pharmex,0,11,PERSON,
A leading order fulfillment and third party logistics (3PL) provider.,third,32,37,ORDINAL,
"Odermatt Group is a provider in the Swiss market with excellent services, specialized in window repairs and replacement.",Odermatt Group,0,14,ORG,
"Odermatt Group is a provider in the Swiss market with excellent services, specialized in window repairs and replacement.",Swiss,36,41,NORP,
"Precision Gear Company specialises in the collection, maintenance and refurbishment of gearboxes in wind turbines.",Precision Gear Company,0,22,ORG,
"NexJ Systems develops cloud-based software to provide CRM solutions for the financial services, insurance and healthcare industries.",CRM,54,57,PRODUCT,
Medi-Globe is a medical devices company that manufactures single-use devices for endoscopy in diagnostic and therapeutic procedures.,Medi-Globe,0,10,ORG,
Ceibo Créditos is a digital company that specializes in personal loans and financial solutions.,Ceibo Créditos,0,14,ORG,
"Incom-CNS Group is, arguably, the UK's ultimate business communications partner.",UK,34,36,GPE,
"Spinnakar is an IT channel distributor with a focus on the storage, cloud, security, and data management industries across EMEA.",Spinnakar,0,9,PERSON,
"Spinnakar is an IT channel distributor with a focus on the storage, cloud, security, and data management industries across EMEA.",EMEA,123,127,ORG,
SellYourMac is an online platform that enables users to buy and sell used and repurposed Apple products.,Apple,89,94,ORG,
Ivari provides insurance products created to suit the insurance and protection needs of the people.,Ivari,0,5,ORG,
Sembcorp Energy India develops and operates power generation assets across thermal and renewable sectors.,Sembcorp Energy India,0,21,ORG,
Renovite Technologies is a cloud-native payments technology company.,Renovite Technologies,0,21,ORG,
"HotelPlus is a Hotel Software, includes a wide range of integrated modules to address every facet of property management.",HotelPlus,0,9,ORG,
Micro Focus is an enterprise software provider that helps customers with the core IT elements of their business.,Micro Focus,0,11,PERSON,
Imperfect Foods delivers groceries with a mission to eliminate food waste and build a better food system for everyone.,Imperfect Foods,0,15,ORG,
Distributel is one of the pioneers of the independent service provider industry in Canada.,Distributel,0,11,ORG,
Distributel is one of the pioneers of the independent service provider industry in Canada.,Canada,83,89,GPE,
Brandmakerr is a provider of interior design services. It specialises in combining brands with space to produce comprehensive solutions.,Brandmakerr,0,11,ORG,
BillDesk develops an integrated technology platform and unified APIs to make digital payments easy and accessible.,BillDesk,0,8,PRODUCT,
Sokol &amp; Company is a consumer goods company that provides food manufacturing and packaging solutions.,Sokol &amp,0,10,ORG,
Sokol &amp; Company is a consumer goods company that provides food manufacturing and packaging solutions.,Company,12,19,ORG,
"International payments business of NTT DOCOMO, enabling mobile commerce for digital brands",NTT DOCOMO,35,45,ORG,
Seedrs is a UK-based investment and crowdfunding platform.,Seedrs,0,6,PERSON,
Seedrs is a UK-based investment and crowdfunding platform.,UK,12,14,GPE,
HubSpot is the premier inbound marketing automation platform that helps to generate leads.,HubSpot,0,7,ORG,
ComX creates predictable B2B sales pipelines of 7-figure value within 3-6 months without cold calling or online marketing.,7,48,49,CARDINAL,
ComX creates predictable B2B sales pipelines of 7-figure value within 3-6 months without cold calling or online marketing.,3-6 months,70,80,DATE,
"Trussway is the leading US manufacturer of floor and roof trusses-vital components for well-built, quality wood-framed building projects.",Trussway,0,8,PERSON,
"Trussway is the leading US manufacturer of floor and roof trusses-vital components for well-built, quality wood-framed building projects.",US,24,26,GPE,
Payrailz is a digital payments company that offers advanced bill payment and money transfer solutions to banks and credit unions.,Payrailz,0,8,GPE,
"Water Lilies Food is a manufacturer of frozen Asian appetizers that are sold through supermarkets, club,stores, restaurants, and markets.",Asian,46,51,NORP,
Quixote Studios is an entertainment company offering equipment rental services.,Quixote Studios,0,15,ORG,
"iConstruct is a business information modeling (BIM) software for Autodesk Navisworks, suitable for a large range of industries worldwide.",iConstruct,0,10,ORG,
"iConstruct is a business information modeling (BIM) software for Autodesk Navisworks, suitable for a large range of industries worldwide.",BIM,47,50,ORG,
"iConstruct is a business information modeling (BIM) software for Autodesk Navisworks, suitable for a large range of industries worldwide.",Autodesk Navisworks,65,84,PERSON,
"TECHLAB, Inc is a developer and manufacturer of intestinal diagnostics products in the United States.",TECHLAB,0,7,ORG,
"TECHLAB, Inc is a developer and manufacturer of intestinal diagnostics products in the United States.",Inc,9,12,ORG,
"TECHLAB, Inc is a developer and manufacturer of intestinal diagnostics products in the United States.",the United States,83,100,GPE,
Tandem facilitates insightful ongoing feedback between managers and teams to deliver accelerated growth.,Tandem,0,6,ORG,
iqs Software stands for innovative ideas and pioneering technologies in quality assurance and quality management.,Software,4,12,ORG,
"PLATO offers risk management, systems engineering, PLM, document management, and software services.",PLATO,0,5,ORG,
"PLATO offers risk management, systems engineering, PLM, document management, and software services.",PLM,51,54,ORG,
"RecoFit offers products of compression gear brand, paving the way for improved muscular performance among athletes.",RecoFit,0,7,ORG,
"Metrics Contract Services provides resources and services focused on manufacturing, pharmaceuticals, and analytical testing.",Metrics Contract Services,0,25,ORG,
"Sogn Kjøleservice designs, installs and services cooling and heating systems of all sizes of both private and larger companies.",Sogn Kjøleservice,0,17,PERSON,
Kripto Maksima Koin operates as a crypto exchange platform.,Kripto,0,6,ORG,
Kripto Maksima Koin operates as a crypto exchange platform.,Maksima Koin,7,19,PERSON,
"US Signal is a provider of fiber optic networking, cloud computing, and managed services.",US Signal,0,9,ORG,
"PipeLogix provides mainline, lateral and manhole inspection software solutions with GIS integration.",PipeLogix,0,9,ORG,
Chicago Skyway operates a 7.8-mile toll road that connects the Dan Ryan Expressway to the Indiana Toll Road.,Chicago Skyway,0,14,ORG,
Chicago Skyway operates a 7.8-mile toll road that connects the Dan Ryan Expressway to the Indiana Toll Road.,7.8-mile,26,34,QUANTITY,
Chicago Skyway operates a 7.8-mile toll road that connects the Dan Ryan Expressway to the Indiana Toll Road.,the Dan Ryan Expressway,59,82,FAC,
Chicago Skyway operates a 7.8-mile toll road that connects the Dan Ryan Expressway to the Indiana Toll Road.,the Indiana Toll Road,86,107,ORG,
3M's Food Safety business is to create an innovative leader in the food safety sector with a comprehensive product range.,3M's,0,4,ORG,
Quest Construction Data Networks provides a functional software application to automate bid process communication &amp; deliver project bidding.,Quest Construction Data Networks,0,32,ORG,
Quest Construction Data Networks provides a functional software application to automate bid process communication &amp; deliver project bidding.,communication &amp,100,118,ORG,
SandBox Medical offers development of products for premature babies and full-term newborns.,SandBox Medical,0,15,ORG,
Boa Logistics is a service-focused freight management company.,Boa Logistics,0,13,ORG,
Headstart is diversity recruiting software focused on breaking the cycle of exclusion.,Headstart,0,9,GPE,
"Managed Print Services specializes in managed print, document management, business supply, analytics and equipment training services.",Managed Print Services,0,22,ORG,
Investment Management Software Solutions &amp; Services,Services,47,55,ORG,
"Glimpse uses your existing CCTV camera, and adds Artificial Intelligence, to bring advance customer analytics to brick-and-mortar retailers!",CCTV,27,31,ORG,
"Glimpse uses your existing CCTV camera, and adds Artificial Intelligence, to bring advance customer analytics to brick-and-mortar retailers!",Artificial Intelligence,49,72,PERSON,
De Jong Verpakking provides packaging and inventory management services.,De Jong Verpakking,0,18,PERSON,
"Switches Unlimited is a well-known distributor of electronic components for new and replacement designs, specialising.",Switches Unlimited,0,18,ORG,
"Jordi Labs provides laboratory analysis services such as E&amp;L testing, particulate analysis, and residue analysis.",Jordi Labs,0,10,PERSON,
Dark Cubed is a Cyber Security company delivers its solutions exclusively through our MSP partner network.,Dark Cubed,0,10,PERSON,
Dark Cubed is a Cyber Security company delivers its solutions exclusively through our MSP partner network.,Cyber Security,16,30,ORG,
Dark Cubed is a Cyber Security company delivers its solutions exclusively through our MSP partner network.,MSP,86,89,ORG,
"ISM Spa provides market analysis, brand development, spa designs, software solution, procurement, spa management and consulting services.",ISM Spa,0,7,ORG,
"Wipfli Financial Advisors provides financial, and investment advice to individual investors, families, and small businesses.",Wipfli Financial Advisors,0,25,ORG,
T-Mobile - Wireline Business provides wireless solutions to consumers and enterprises.,T-Mobile - Wireline Business,0,28,ORG,
NextGen Security provides integrated physical and electronic solutions for regulated entities and facilities in key vertical markets.,NextGen Security,0,16,ORG,
"Vertigo Films is a film production company that specializes in integrated distribution, sales, and post-production operations.",Vertigo Films,0,13,PERSON,
"Advanced Illumination is a lighting solutions company that designs &amp; manufactures LED lighting systems, assemblies &amp; drivers for factories.",Advanced Illumination,0,21,ORG,
BankDirect Capital Finance is an Illinois-headquatered financial services company.,BankDirect Capital Finance,0,26,ORG,
BankDirect Capital Finance is an Illinois-headquatered financial services company.,Illinois,33,41,GPE,
