Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Mysten Labs develops tools that make web3 secure, reliable, and ready for mass adoption.",Mysten Labs,0,11,PERSON,
"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",HPC,82,85,ORG,
"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",AI,91,93,GPE,
"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",Meta,0,4,ORG,
"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",Intel,0,5,ORG,
Drift is a Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue.,Drift,0,5,ORG,
Drift is a Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue.,Conversational Marketing and Conversational Sales,51,100,ORG,
"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",Apple,0,5,ORG,
Seedrs is a UK-based investment and crowdfunding platform.,Seedrs,0,6,PERSON,
Seedrs is a UK-based investment and crowdfunding platform.,UK,12,14,GPE,
OurCrowd is a venture investing platform that enables institutions and individuals to invest and engage in emerging companies.,OurCrowd,0,8,ORG,
"Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",Razer,0,5,NORP,
"Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",ergonomics,75,85,ORG,
Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,Animoca Brands,0,14,ORG,
Techstars is a global platform that provides investment and innovation.,Techstars,0,9,ORG,
SeatGeek operates a mobile-focused ticket platform and search engine that lets fans buy and sell tickets for events.,SeatGeek,0,8,ORG,
"Airtel is a global telecommunications company that provides mobile, voice, and data solutions.",Airtel,0,6,ORG,
Lunar Energy builds clean energy products to deliver home electrification at scale.,Lunar Energy,0,12,ORG,
"Reliance Industries is engaged in the energy, petrochemical, retail, and textile businesses.",Reliance Industries,0,19,ORG,
Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.,Blockchain Capital,0,18,ORG,
Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.,Blockchain,58,68,GPE,
"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",Inworld AI,0,10,ORG,
"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",AI,38,40,ORG,
"MayoClinic is a nonprofit medical practice and medical research group focused on integrated health care, education, and research.",MayoClinic,0,10,ORG,
Roche is a pharmaceutical and diagnostics company that focuses on improving people’s lives.,Roche,0,5,ORG,
"Bristol Myers Squibb engages in the discovery, development, licensing, manufacturing, marketing, distribution, and sale of pharmaceuticals.",Bristol Myers Squibb,0,20,ORG,
Carvana is an e-commerce platform for buying and selling used cars.,Carvana,0,7,GPE,
Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,Voyager,0,7,PRODUCT,
MoviePass employs location-based technologies to allow individuals to watch movies at local theaters for a fixed monthly price.,monthly,113,120,DATE,
"Atlassian provides collaboration, development, and issue tracking software for teams.",Atlassian,0,9,NORP,
"WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",WhatsApp,0,8,ORG,
One Medical is a members-only technology platform offering an array of concierge medical services.,One,0,3,CARDINAL,
Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,Cloudflare,0,10,ORG,
Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,Gemini,0,6,ORG,
Expert DOJO is an international startup accelerator based in Santa Monica.,Santa Monica,61,73,GPE,
"Bitwarden provides an open-source password management solutions for individuals, teams, and business organizations.",Bitwarden,0,9,PERSON,
"Physics Wallah offers live classes, video lectures, test series, and dynamic exercises for JEE, NEET entrance, and board exams.",Physics Wallah,0,14,PERSON,
"Physics Wallah offers live classes, video lectures, test series, and dynamic exercises for JEE, NEET entrance, and board exams.",JEE,91,94,ORG,
World's fastest-growing threat intelligence provider (YC W21).,World,0,5,ORG,
Yulu is a micro-mobility platform powered by shared electric two-wheelers aiming to reduce traffic congestion and air pollution in India.,two,61,64,CARDINAL,
Yulu is a micro-mobility platform powered by shared electric two-wheelers aiming to reduce traffic congestion and air pollution in India.,India,131,136,GPE,
Muck Rack is a public relations management platform that enables organizations to connect with journalists to generate media coverage.,Muck Rack,0,9,PERSON,
Octopus Energy builds technology that reduces the cost of energy to improve the customer experience.,Octopus Energy,0,14,PRODUCT,
Celsius Network is a blockchain-based lending platform that is accessible through a free mobile app.,Celsius Network,0,15,ORG,
Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,thousands,101,110,CARDINAL,
Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,today,114,119,DATE,
Inflection Point Ventures is an early stage angel investing platform that provides both monetary and non-monetary support to the startups.,Inflection Point Ventures,0,25,ORG,
"CrowdStrike is a cybersecurity technology firm pioneering cloud delivered protection across endpoints, cloud workloads, identity and data.",CrowdStrike,0,11,ORG,
"GroMo is a FinTech marketplace helping users sell financial products such as loans, insurance, and investments.",FinTech,11,18,ORG,
Citigroup is a diversified financial services holding company that provides various financial products and services.,Citigroup,0,9,ORG,
"IndieBio is the largest biotech startup accelerator, run by SOSV.",IndieBio,0,8,ORG,
"IndieBio is the largest biotech startup accelerator, run by SOSV.",SOSV,60,64,LOC,
"Protocol Labs is a research, development, and deployment lab for network protocols.",Protocol Labs,0,13,ORG,
GitHub provides code hosting services that allow developers to build software for open-source and private projects in organizations.,GitHub,0,6,ORG,
"HP is a manufacturer and seller of personal computers, printers, computer hardwares, and business solutions.",HP,0,2,ORG,
Zynga is a mobile game developer that creates and operates social games as live services played on the Internet.,Zynga,0,5,PERSON,
Ready Player Me develops a cross-game avatar platform for the metaverse.,Ready Player Me,0,15,PERSON,
"Siemens is an engineering and electronics company that specializes in the fields of industry, energy, transportation, and healthcare.",Siemens,0,7,ORG,
GrubMarket supplies local fresh food online with affordable prices and convenient delivery.,GrubMarket,0,10,ORG,
The all-in-one platform to power your Barbershop Operations,Barbershop Operations,38,59,ORG,
Gotham Greens develops commercial-scale greenhouse facilities intended for sustainable vegetable production.,Gotham Greens,0,13,PERSON,
Medtronic develops and manufactures medical device technologies and therapies to treat chronic diseases worldwide.,Medtronic,0,9,ORG,
Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,millions,56,64,CARDINAL,
"Ubisoft is a producer, publisher, and distributor of interactive entertainment products.",Ubisoft,0,7,ORG,
Boston Scientific is an innovator of medical solutions that improve patient health.,Boston Scientific,0,17,ORG,
Stake Properties is a digital real estate investment platform that helps its users invest in income-generating properties.,Stake Properties,0,16,PERSON,
OpenAI is an AI research and deployment company that aims to ensure that artificial general intelligence benefits all of humanity.,OpenAI,0,6,GPE,
