Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
Flipkart operates an online shopping website with a registered customer base of over 100 million.,Flipkart,0,8,ORG,
Flipkart operates an online shopping website with a registered customer base of over 100 million.,over 100 million,80,96,MONEY,
"Latitud provides community, infrastructure, and capital to tech companies.",Latitud,0,7,PERSON,
"MIT is a research university that conducts research and offers educational courses in science, technology, and engineering.",MIT,0,3,ORG,
"The University of Michigan is a public research university that caters business, engineering, law, and medical courses.",The University of Michigan,0,26,ORG,
"University of California, Berkeley is a public institution for higher education.","University of California, Berkeley",0,34,ORG,
"Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",Harvard University,0,18,ORG,
Carnegie Mellon University is a global research university bringing ideas to market and creating successful startup businesses.,Carnegie Mellon University,0,26,ORG,
"Myntra is an e-commerce platform for buying branded footwear, apparel, and accessories for men and women.",Myntra,0,6,ORG,
"Northwestern is one of the country's leading private research and teaching universities, located in Evanston, IL.",Northwestern,0,12,ORG,
"Northwestern is one of the country's leading private research and teaching universities, located in Evanston, IL.",Evanston,100,108,GPE,
"Northwestern is one of the country's leading private research and teaching universities, located in Evanston, IL.",IL,110,112,GPE,
"University of South Florida is a public research university located in Tampa, Florida.",University of South Florida,0,27,ORG,
"University of South Florida is a public research university located in Tampa, Florida.",Tampa,71,76,GPE,
"University of South Florida is a public research university located in Tampa, Florida.",Florida,78,85,GPE,
Yale University is a research and education institution that prioritizes its students.,Yale University,0,15,ORG,
Duke University is a private research university providing undergraduate and postgraduate education in medicine and other disciplines.,Duke University,0,15,ORG,
OpenClassrooms is a European online education platform with more than 2 million members and fully online degrees.,OpenClassrooms,0,14,ORG,
OpenClassrooms is a European online education platform with more than 2 million members and fully online degrees.,European,20,28,NORP,
OpenClassrooms is a European online education platform with more than 2 million members and fully online degrees.,more than 2 million,60,79,CARDINAL,
"General Assembly is a pioneer in education and career transformation, specializing in today’s most in-demand skills.",General Assembly,0,16,ORG,
"General Assembly is a pioneer in education and career transformation, specializing in today’s most in-demand skills.",today,86,91,DATE,
University of Saskatchewan is one of the top 15 medical-doctoral and research intensive universities in Canada.,University of Saskatchewan,0,26,ORG,
University of Saskatchewan is one of the top 15 medical-doctoral and research intensive universities in Canada.,one,30,33,CARDINAL,
