Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Mountain View, California, United States",7,7,7,7,7,7
"San Francisco, California, United States",7,7,7,7,7,7
"Santa Clara, California, United States",7,7,7,7,7,7
"Menlo Park, California, United States",7,7,7,7,7,7
"Santa Clara, California, United States",7,7,7,7,7,7
"Shenzhen, Guangdong, China",5,5,5,5,5,5
"Boston, Massachusetts, United States",6,6,6,6,6,6
"Cupertino, California, United States",6,6,6,6,6,6
"London, England, United Kingdom",6,6,6,6,6,6
"Boston, Massachusetts, United States",6,6,6,6,6,6
"New York, New York, United States",8,8,8,8,8,8
"San Francisco, California, United States",7,7,7,7,7,7
"Jerusalem, Yerushalayim, Israel",5,5,5,5,5,5
"San Francisco, California, United States",7,7,7,7,7,7
"London, England, United Kingdom",6,6,6,6,6,6
"Mumbai, Maharashtra, India",5,5,5,5,5,5
"London, England, United Kingdom",6,6,6,6,6,6
"Cyberport, Hong Kong Island, Hong Kong",8,8,8,8,8,8
"San Francisco, California, United States",7,7,7,7,7,7
"Boulder, Colorado, United States",6,6,6,6,6,6
"New York, New York, United States",8,8,8,8,8,8
"New Delhi, Delhi, India",6,6,6,6,6,6
"Mountain View, California, United States",7,7,7,7,7,7
"San Francisco, California, United States",7,7,7,7,7,7
"Mumbai, Maharashtra, India",5,5,5,5,5,5
"San Francisco, California, United States",7,7,7,7,7,7
"Tallinn, Harjumaa, Estonia",5,5,5,5,5,5
"Mountain View, California, United States",7,7,7,7,7,7
"Rochester, Minnesota, United States",6,6,6,6,6,6
"Hawthorne, California, United States",6,6,6,6,6,6
"San Francisco, California, United States",7,7,7,7,7,7
"Santa Monica, California, United States",7,7,7,7,7,7
"San Francisco, California, United States",7,7,7,7,7,7
"Basel, Basel-Stadt, Switzerland",7,7,7,7,7,7
"Cairo, Al Qahirah, Egypt",6,6,6,6,6,6
"New York, New York, United States",8,8,8,8,8,8
"Tempe, Arizona, United States",6,6,6,6,6,6
"Wilmington, Delaware, United States",6,6,6,6,6,6
"New York, New York, United States",8,8,8,8,8,8
"Sydney, New South Wales, Australia",7,7,7,7,7,7
"Santa Clara, California, United States",7,7,7,7,7,7
"Beijing, Beijing, China",5,5,5,5,5,5
"Champaign, Illinois, United States",6,6,6,6,6,6
"San Francisco, California, United States",7,7,7,7,7,7
"New York, New York, United States",8,8,8,8,8,8
"Claremont, California, United States",6,6,6,6,6,6
"San Francisco, California, United States",7,7,7,7,7,7
"New York, New York, United States",8,8,8,8,8,8
"Santa Monica, California, United States",7,7,7,7,7,7
"Cambridge, Massachusetts, United States",6,6,6,6,6,6
"Santa Barbara, California, United States",7,7,7,7,7,7
"Jacksonville, Florida, United States",6,6,6,6,6,6
"Noida, Uttar Pradesh, India",6,6,6,6,6,6
"Alpharetta, Georgia, United States",6,6,6,6,6,6
"San Mateo, California, United States",7,7,7,7,7,7
"Bangalore, Karnataka, India",5,5,5,5,5,5
"Miami, Florida, United States",6,6,6,6,6,6
"London, England, United Kingdom",6,6,6,6,6,6
"London, England, United Kingdom",6,6,6,6,6,6
"San Francisco, California, United States",7,7,7,7,7,7
"San Francisco, California, United States",7,7,7,7,7,7
"Palo Alto, California, United States",7,7,7,7,7,7
"Gurgaon, Haryana, India",5,5,5,5,5,5
"Sunnyvale, California, United States",6,6,6,6,6,6
"Gurgaon, Haryana, India",5,5,5,5,5,5
